heat01,heat02,heat03,heat04,heat05,heat06,heat07,heat08,heat09,heat10,heat11,heat12,heat13,heat14,heat15,heat16,heat17,heat18,heat19,heat20,heat21,heat22,heat23,heat24,heat25,heat26,heat27,heat28,heat29,heat30,heat31,heat32,heat33,heat34,heat35,heat36,heat37,heat38,heat39,heat40,smoke01,smoke02,smoke03,smoke04,smoke05,smoke06,smoke07,smoke08,smoke09,smoke10,smoke11,smoke12,smoke13,smoke14,smoke15,smoke16,smoke17,smoke18,smoke19,smoke20,smoke21,smoke22,smoke23,smoke24,smoke25,smoke26,smoke27,smoke28,smoke29,smoke30,smoke31,smoke32,smoke33,smoke34,smoke35,smoke36,smoke37,smoke38,smoke39,smoke40
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32.2,125.4,31.2,31.5,32.7,32,45.7,31.9,32.5,30,30,32.4,30,30,30,30,30.2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,41.1,3.4,3.6,5.9,4.5,21.2,3.7,6.5,0,0,3.6,0,0,0,0,0.7,0,0
